% Filename : LM_Channel_5200_mean_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure 
% 
% Total number of data points  : 768
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 10240 
%  Grid (wall-normal)      ny = 1536 
%  Grid (spanwise)         nz = 7680  
%  B-Spline order           n = 7 
%
%  Re_tau              Re_tau = 5185.897 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
%
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
%
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_5200_mean_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** W should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                       U                      dU/dy                      W                        P                     u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k                     Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%-----------------------------------------------------------------------------------------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    4.176503139302004e-36    0.000000000000000e+00   -4.685006664461505e-10    0.000000000000000e+00   -6.964740163543050e-40    0.000000000000000e+00   -2.342503332230753e-10    0.000000000000000e+00   -2.215534872286744e-08    2.889122060107626e-01    0.000000000000000e+00   -1.737228168568018e-10    2.889096124990210e-01    2.571182670052519e-06
    1.371071353273301e-05    7.110235019829264e-02    7.110185565654703e-02    9.999858899371266e-01   -1.120892048566094e-05   -4.717271551396461e-09    1.005729630036473e-03    4.711428583307734e-09    4.434640182224768e-04   -3.980482056045502e-07   -8.647142289694951e-08    6.027251848120077e-11    7.245991798437662e-04    3.984666379266438e-07    8.687784353057800e-07    2.832557566131177e-01    0.000000000000000e+00    1.889060915741132e-03    2.851455354129699e-01    5.493609622209128e-07
    4.169953934984871e-05    2.162495221624994e-01    2.162444005069231e-01    9.999469147763482e-01   -3.409120844921682e-05   -3.851045470507787e-07    9.271134506947366e-03    3.846287241004186e-07    3.959368754374734e-03   -1.137182466915140e-05   -8.119894627154512e-07    1.722110955671311e-09    6.615443945023100e-03    1.138342050920944e-05    2.434797914997934e-05    2.727318688331076e-01    0.000000000000000e+00    5.407031602509459e-03    2.781750327157917e-01   -4.008805155053530e-07
    8.453381948780869e-05    4.383836933411095e-01    4.383546313113363e-01    9.998185653292309e-01   -6.911049414492229e-05   -6.055742723250330e-06    3.792463528677893e-02    6.048292318467310e-06    1.542632970008592e-02   -9.679784760567144e-05   -3.408324203057311e-06    1.466384983529192e-08    2.667850663959166e-02    9.688503953346424e-05    2.052400552398915e-04    2.587750324005624e-01    0.000000000000000e+00    9.989608494954449e-03    2.690675538155508e-01   -7.878252605841851e-07
    1.427808370142447e-04    7.404467353763260e-01    7.403063177345499e-01    9.993785912833543e-01   -1.167228118251095e-04   -4.477271293683394e-05    1.075991555237776e-01    4.471795879474329e-05    4.099239747611752e-02   -4.781457254533120e-04   -9.973360601192436e-06    7.246230200962353e-08    7.431813547934493e-02    4.783703854332315e-04    9.986282774933708e-04    2.426175703361564e-01    0.000000000000000e+00    1.488018057565712e-02    2.589759788541222e-01   -1.229279382009008e-06
    2.170078137750941e-04    1.125380202420942e+00    1.124780601314649e+00    9.980626149911919e-01   -1.773545210429150e-04   -2.117845420306204e-04    2.469056764728029e-01    2.115274855986984e-04    8.669774386414202e-02   -1.718677337371014e-03   -2.365298783456456e-05    2.605719407305371e-07    1.669074739112718e-01    1.717232440404110e-03    3.485654791864730e-03    2.241342520564654e-01    0.000000000000000e+00    1.930067935415325e-02    2.486406921298797e-01   -2.873486992210905e-06
    3.077819081407362e-04    1.596125319450033e+00    1.593912181611315e+00    9.947055589386127e-01   -2.513472213090199e-04   -7.417624650345510e-04    4.920761127102227e-01    7.408701319817946e-04    1.570620498637934e-01   -4.981768284725916e-03   -4.865495282468065e-05    7.554202778435900e-07    3.249395163529989e-01    4.960845627112771e-03    9.514963340055180e-03    2.008963135465350e-01    0.000000000000000e+00    2.263202346514108e-02    2.380092287061632e-01   -5.082727319111191e-06
    4.156702127537937e-04    2.155622970581291e+00    2.148568636179321e+00    9.872936380317611e-01   -3.388468831528463e-04   -2.088000981742419e-03    8.839683134634549e-01    2.085514823428185e-03    2.540232003608626e-01   -1.227870555596587e-02   -8.978143645795672e-05    1.860546199885885e-06    5.700385143238729e-01    1.213596883090918e-02    2.100339470239027e-02    1.685553319608926e-01    0.000000000000000e+00    2.454059411331036e-02    2.262442165742402e-01   -8.926966737848874e-06
    5.275290387434239e-04    2.735711337193032e+00    2.717918867902522e+00    9.748179109346057e-01   -4.286940414824093e-04   -4.579575611199115e-03    1.391516383504098e+00    4.574179300730613e-03    3.628868345096443e-01   -2.463060294009045e-02   -1.438436521909353e-04    3.725004435692765e-06    8.794886986572366e-01    2.403643882355442e-02    3.603145514431733e-02    1.288396969902436e-01    0.000000000000000e+00    2.501771434312071e-02    2.139386103514710e-01   -1.330505023494633e-05
    6.433579417870483e-04    3.336388115074059e+00    3.298192924991181e+00    9.562887308572535e-01   -5.203154642490620e-04   -8.564745293001347e-03    2.002918592492006e+00    8.554758821811920e-03    4.790678189993579e-01   -4.302616760017188e-02   -2.090492999646163e-04    6.487550667019493e-06    1.245270585156588e+00    4.118969279544332e-02    5.146354612078949e-02    8.390107334638562e-02    0.000000000000000e+00    2.455034758378711e-02    2.011223704742207e-01   -1.771062781513733e-05
    7.631564617923692e-04    3.957650918233040e+00    3.884810062158415e+00    9.312143085821216e-01   -6.130228507725165e-04   -1.434320407630383e-02    2.697083123343675e+00    1.432665449763796e-02    5.990438772118853e-01   -6.795673174071240e-02   -2.823447028575982e-04    1.020744451286445e-05    1.655226827526599e+00    6.334960703700393e-02    6.359699492548621e-02    3.809425386942509e-02    0.000000000000000e+00    2.348033206600550e-02    1.885427770085993e-01   -2.158911067856595e-05
    8.869241228990354e-04    4.599497278907139e+00    4.472661471036921e+00    8.996593658158216e-01   -7.060581921785774e-04   -2.215514324857428e-02    3.445994837431021e+00    2.212984198125212e-02    7.202357171717447e-01   -9.935764842294199e-02   -3.599078941718331e-04    1.486036832980654e-05    2.094180198292009e+00    8.948204508846612e-02    6.949018019787213e-02   -3.890957354543651e-03    0.000000000000000e+00    2.203131242129089e-02    1.771372574347257e-01   -2.467708164027860e-05
    1.014660433480419e-03    5.261924647571224e+00    5.056451911678452e+00    8.622016752149116e-01   -7.986449067295633e-04   -3.217941362142877e-02    4.218370752185365e+00    3.214303054052793e-02    8.408398207670033e-01   -1.366517079500359e-01   -4.377430820831949e-04    2.034902719608629e-05    2.545676801746448e+00    1.179437049195942e-01    6.776431380889124e-02   -3.845356831191599e-02    0.000000000000000e+00    2.034052776477781e-02    1.676218603369821e-01   -2.688215563484420e-05
    1.146364886145945e-03    5.944930392949966e+00    5.631040719012941e+00    8.198167667632708e-01   -8.900359093374461e-04   -4.453677073004848e-02    4.983497331857055e+00    4.448689987502570e-02    9.596438236773369e-01   -1.788643167608650e-01   -5.121960072443302e-04    2.652139418158893e-05    2.993814027704709e+00    1.467862170860296e-01    5.872035236339017e-02   -6.372421770543528e-02    0.000000000000000e+00    1.848977162086457e-02    1.603003685592529e-01   -2.824519440383644e-05
    1.282036957742871e-03    6.648511802027046e+00    6.191734746573503e+00    7.737284660928244e-01   -9.795534558467800e-04   -5.929514309670470e-02    5.714370530246509e+00    5.922935787049043e-02    1.075851619474440e+00   -2.247728164384186e-01   -5.802848245074441e-04    3.319897992679885e-05    3.424725753795720e+00    1.740887243030445e-01    4.394387606161153e-02   -7.952017334586750e-02    0.000000000000000e+00    1.653126629249567e-02    1.550725200160297e-01   -2.882670474552151e-05
    1.421676109358172e-03    7.372666080054942e+00    6.734504325216657e+00    7.252583950226856e-01   -1.066616441194334e-03   -7.647499913440466e-02    6.389683782639549e+00    7.639089803802540e-02    1.188936426284674e+00   -2.730568406437616e-01   -6.398366457009617e-04    4.019048804757281e-05    3.827505553481124e+00    1.982335830865439e-01    2.568818177912547e-02   -8.689856810163894e-02    0.000000000000000e+00    1.450611226320822e-02    1.515579614006167e-01   -2.865237337809634e-05
    1.565281786321093e-03    8.117390350568176e+00    7.256111921581341e+00    6.756973507010433e-01   -1.150756552042238e-03   -9.605393260189903e-02    6.994613934909116e+00    9.594917818573645e-02    1.298530389382188e+00   -3.224268187495392e-01   -6.894848813328776e-04    4.730651602090066e-05    4.194546751238520e+00    2.180758722909376e-01    6.285066249251188e-03   -8.759301516305043e-02    0.000000000000000e+00    1.245493208752671e-02    1.492505603687612e-01   -2.770490409609305e-05
    1.712853418205151e-03    8.882681655393672e+00    7.754158045599447e+00    6.262103961235123e-01   -1.231624535457625e-03   -1.179703708786746e-01    7.520625289776707e+00    1.178427239763971e-01    1.404351135123613e+00   -3.717187995118702e-01   -7.285934580542478e-04    5.438953028680476e-05    4.521409574438359e+00    2.329977398037488e-01   -1.227575788075907e-02   -8.352305756475452e-02    0.000000000000000e+00    1.042185138167737e-02    1.476467474525996e-01   -2.597171268700627e-05
    1.864390418830353e-03    9.668536954662272e+00    8.227058594739763e+00    5.777783178119661e-01   -1.308982429466252e-03   -1.421267639817894e-01    7.964627136814526e+00    1.419741144554630e-01    1.506160116131893e+00   -4.199529334143858e-01   -7.571221308277802e-04    6.130008783913752e-05    4.806380683700941e+00    2.428686078700306e-01   -2.856190866456773e-02   -7.645866926704446e-02    0.000000000000000e+00    8.453781625867827e-03    1.463252663909236e-01   -2.345482663740350e-05
    2.019892186265637e-03    1.047495312682141e+01    8.673972360172826e+00    5.311718211553739e-01   -1.382692384556648e-03   -1.683927569343318e-01    8.327816005286795e+00    1.682131521113594e-01    1.603744816944503e+00   -4.663592637429678e-01   -7.754701899962658e-04    6.793039260482260e-05    5.049886987171329e+00    2.479464275372882e-01   -4.173953111484589e-02   -6.784430797932581e-02    0.000000000000000e+00    6.597133926004809e-03    1.449799005488983e-01   -2.017817977698066e-05
    2.179358102831097e-03    1.130192696864662e+01    9.094697867056887e+00    4.869514639513856e-01   -1.452700252227646e-03   -1.966087699473664e-01    8.614462979202218e+00    1.964004428192719e-01    1.696916327036239e+00   -5.103777808489457e-01   -7.842907818878120e-04    7.422020645027458e-05    5.253889874528864e+00    2.487554482212510e-01   -5.149995327989120e-02   -5.874710234798221e-02    0.000000000000000e+00    4.893783581877235e-03    1.434184057501854e-01   -1.622957493060961e-05
    2.342787535100643e-03    1.214945519525534e+01    9.489556436934050e+00    4.454852641894829e-01   -1.519013939943727e-03   -2.265902175828637e-01    8.830814306843106e+00    2.263516148627094e-01    1.785514788822818e+00   -5.516408225715267e-01   -7.843342616703512e-04    8.012414956193438e-05    5.421340355264316e+00    2.459678288670605e-01   -5.793112649703362e-02   -4.988327589023799e-02    0.000000000000000e+00    3.377551809347680e-03    1.415428133242809e-01   -1.183503514437523e-05
    2.510179833904336e-03    1.301753444011904e+01    9.859274626459758e+00    4.069764578706155e-01   -1.581690112855302e-03   -2.581323788835346e-01    8.984189789328289e+00    2.578621850813868e-01    1.869417270479614e+00   -5.899453502913321e-01   -7.763777102943748e-04    8.562272466603456e-05    5.555734622444644e+00    2.403054829312466e-01   -6.137898097952234e-02   -4.168244545239612e-02    0.000000000000000e+00    2.071897049894911e-03    1.393234077524921e-01   -7.454203269058324e-06
    2.681534334331159e-03    1.390616125507758e+01    1.020487510228769e+01    3.714953193895211e-01   -1.640817027115104e-03   -2.910157485237785e-01    9.082301283462773e+00    2.907129054278092e-01    1.948544564885448e+00   -6.252211466289805e-01   -7.611843144791854e-04    9.072079362087031e-05    5.660779376888015e+00    2.324686857255267e-01   -6.232580732071948e-02   -3.436147816009987e-02    0.000000000000000e+00    9.890235334386866e-04    1.367741939839618e-01   -3.770205815767369e-06
    2.856850355731466e-03    1.481533211035189e+01    1.052758125227852e+01    3.390106735892723e-01   -1.696505193749889e-03   -3.250115950264131e-01    9.132775233646271e+00    3.246753184000326e-01    2.022865172824118e+00   -6.574993405760085e-01   -7.394889335682158e-04    9.542766732011180e-05    5.740157862435210e+00    2.230909508411603e-01   -6.129715279165001e-02   -2.799215397006701e-02    0.000000000000000e+00    1.302534286651319e-04    1.339333436770695e-01   -1.446168961055649e-06
    3.036127201719752e-03    1.574504339455838e+01    1.082873781580348e+01    3.094184038789963e-01   -1.748883537104865e-03   -3.598874286472384e-01    9.142844546126593e+00    3.595172228917295e-01    2.092396041092478e+00   -6.868839308526583e-01   -7.119581038514098e-04    9.976045766936511e-05    5.797378905055401e+00    2.127157727627660e-01   -5.879876661018463e-02   -2.255572052695206e-02    0.000000000000000e+00   -5.126836607752094e-04    1.308494007528320e-01   -7.987879779014495e-07
    3.219364160177429e-03    1.669529141472329e+01    1.110974766113810e+01    2.825655885630782e-01   -1.798091561071705e-03   -3.954121116851627e-01    9.119170108542553e+00    3.950077778268206e-01    2.157200299156267e+00   -7.135276777751021e-01   -6.791796025811890e-04    1.037535886532695e-04    5.835689092762821e+00    2.017894743141155e-01   -5.527999290168484e-02   -1.798262508615723e-02    0.000000000000000e+00   -9.558128057789167e-04    1.275727190458525e-01   -1.675525357985874e-06
    3.406560503255829e-03    1.766607239629828e+01    1.137202346701563e+01    2.582698791672487e-01   -1.844277930125453e-03   -4.313603994676804e-01    9.067755239516542e+00    4.309220311249165e-01    2.217382702471645e+00   -7.376127523239844e-01   -6.416955174674088e-04    1.074372792132888e-04    5.858029986556551e+00    1.906646571940054e-01   -5.111741773844015e-02   -1.417915354166151e-02    0.000000000000000e+00   -1.220799300272215e-03    1.241508607868021e-01   -3.574173170553530e-06
    3.597715487378639e-03    1.865738248317309e+01    1.161695235784891e+01    2.363343574056081e-01   -1.887596182875243e-03   -4.675167708058873e-01    8.993922787163960e+00    4.670447386844278e-01    2.273083574700332e+00   -7.593358752807456e-01   -6.000256113807849e-04    1.108477821057699e-04    5.867025550274359e+00    1.796097323876275e-01   -4.661194142091900e-02   -1.104441151010770e-02    0.000000000000000e+00   -1.332781765637199e-03    1.206264783200133e-01   -5.880629049784258e-06
    3.792828353245237e-03    1.966921773769277e+01    1.184587128591009e+01    2.165584256657568e-01   -1.928203248270558e-03   -5.036784849081705e-01    8.902331760668092e+00    5.031734139247044e-01    2.324471995541199e+00   -7.788974545517627e-01   -5.546776158802032e-04    1.140149484569926e-04    5.864988585066998e+00    1.688212011592900e-01   -4.199368388154635e-02   -8.480751718136958e-03    0.000000000000000e+00   -1.318398227823202e-03    1.170365863189799e-01   -8.218987196439986e-06
    3.991898325833909e-03    2.070157414067443e+01    1.206005100113278e+01    1.987454246154356e-01   -1.966259728749057e-03   -5.396578647984840e-01    8.797017111384019e+00    5.391206080647862e-01    2.371738889424008e+00   -7.964939669539116e-01   -5.061412384101869e-04    1.169484937925518e-04    5.853938304436406e+00    1.584364852346116e-01   -3.743109445431179e-02   -6.399008829669981e-03    0.000000000000000e+00   -1.204185857689189e-03    1.134128186397969e-01   -1.062254685620101e-05
    4.194924614404183e-03    2.175444759141932e+01    1.226068665968499e+01    1.827076592271128e-01   -2.001928602280703e-03   -5.752838437957245e-01    8.681441666294729e+00    5.747154657437948e-01    2.415090451614629e+00   -8.123129324150681e-01   -4.549092782568422e-04    1.196575762995808e-04    5.835623791826576e+00    1.485459854063354e-01   -3.304174449230628e-02   -4.720022344025594e-03    0.000000000000000e+00   -1.015318415089668e-03    1.097821955737065e-01   -1.329541879260820e-05
    4.401906412500711e-03    2.282783390773295e+01    1.244889339745050e+01    1.682694424612161e-01   -2.035374024069399e-03   -6.104028523462597e-01    8.558552919895625e+00    6.098046271124529e-01    2.454742181932016e+00   -8.265298904855862e-01   -4.014879818223586e-04    1.221388997348855e-04    5.811549864470047e+00    1.392037041580749e-01   -2.890276534381555e-02   -3.374675154623209e-03    0.000000000000000e+00   -7.745852064228209e-04    1.061677669418665e-01   -1.608848865319867e-05
    4.612842897956049e-03    2.392172882593950e+01    1.262570548053014e+01    1.552686694971091e-01   -2.066755703355820e-03   -6.448791615897287e-01    8.430839990895119e+00    6.442525627571307e-01    2.490913644653254e+00   -8.393068115701771e-01   -3.463825801232821e-04    1.243965405738425e-04    5.783003099152753e+00    1.304362114285542e-01   -2.505971381322537e-02   -2.304055222570212e-03    0.000000000000000e+00   -5.017357140912507e-04    1.025889712050064e-01   -1.826452633903186e-05
